"","word1","word2","n"
"189","dear","mother",9
"190","donwell","abbey",9
"191","elder","sister",9
"192","extremely","happy",9
"193","gracechurch","street",9
"194","ill","health",9
"195","lord","bless",9
"196","miss","eliza",9
"197","miss","lee",9
"198","perfect","indifference",9
"199","poor","girl",9
"200","poor","isabella",9
"201","replied","jane",9
"202","affectionate","heart",8
"203","charlotte","lucas",8
"204","cried","anne",8
"205","cried","harriet",8
"206","days","ago",8
"207","dear","brother",8
"208","dear","father",8
"209","dear","friend",8
"210","dearest","emma",8
"211","domestic","happiness",8
"212","earnest","desire",8
"213","edgar's","buildings",8
"214","excellent","spirits",8
"215","fair","lady",8
"216","fifty","pounds",8
"217","fine","day",8
"218","heaven's","sake",8
"219","intimate","friends",8
"220","mansion","house",8
"221","miss","grey",8
"222","miss","morland's",8
"223","miss","taylor's",8
"224","miss","thorpe's",8
"225","mutual","affection",8
"226","poor","fanny",8
"227","poor","sister",8
"228","post","office",8
"229","twenty","miles",8
"230","twenty","thousand",8
"231","wedding","clothes",8
"232","west","indies",8
"233","ah","poor",7
"234","barouche","landau",7
"235","barton","cottage",7
"236","breakfast","parlour",7
"237","charming","woman",7
"238","cold","hearted",7
"239","cold","meat",7
"240","colonel","campbell's",7
"241","cottager's","wife",7
"242","cried","elinor",7
"243","cried","lucy",7
"244","dear","cried",7
"245","dr","shirley",7
"246","elizabeth","bennet",7
"247","elizabeth","looked",7
"248","evening","passed",7
"249","exceedingly","pleased",7
"250","fanny","fanny",7
"251","finally","settled",7
"252","george","wickham",7
"253","gravel","walk",7
"254","half","past",7
"255","half","whisper",7
"256","henry","crawford's",7
"257","hour","ago",7
"258","ill","opinion",7
"259","ill","usage",7
"260","letter","arrived",7
"261","mary","crawford",7
"262","miss","bennets",7
"263","miss","smith's",7
"264","natural","taste",7
"265","northanger","abbey",7
"266","parsonage","house",7
"267","perfectly","easy",7
"268","piano","forte",7
"269","presently","added",7
"270","ready","wit",7
"271","real","character",7
"272","real","opinion",7
"273","respectable","family",7
"274","robert","ferrars",7
"275","sir","cried",7
"276","stay","till",7
"277","strong","feelings",7
"278","twenty","hours",7
"279","twenty","minutes",7
"280","walked","home",7
"281","wedding","day",7
"282","westgate","buildings",7
"283","william","lucas",7
"284","absolute","necessity",6
"285","answered","elinor",6
"286","bad","news",6
"287","baked","apples",6
"288","blaize","castle",6
"289","bringing","forward",6
"290","card","tables",6
"291","carriage","drove",6
"292","catherine","found",6
"293","charles","maddox",6
"294","conduit","street",6
"295","cried","edmund",6
"296","cried","jane",6
"297","cried","sir",6
"298","dear","cousin",6
"299","dear","elinor",6
"300","dear","lydia",6
"301","dearest","lizzy",6
"302","dr","grant's",6
"303","drink","tea",6
"304","east","indies",6
"305","easy","till",6
"306","elinor","found",6
"307","elizabeth","found",6
"308","elizabeth's","mind",6
"309","emma","smiling",6
"310","evening","parties",6
"311","fair","cousins",6
"312","fanny","cried",6
"313","fanny","found",6
"314","father's","account",6
"315","fine","lady",6
"316","folding","doors",6
"317","friend","miss",6
"318","front","door",6
"319","ill","bred",6
"320","ill","disposed",6
"321","ill","nature",6
"322","intimately","acquainted",6
"323","jane","austen",6
"324","longbourn","family",6
"325","looked","grave",6
"326","lovely","woman",6
"327","lucas","lodge",6
"328","madam","cried",6
"329","married","women",6
"330","miss","andrews",6
"331","miss","bertram's",6
"332","miss","musgrove",6
"333","miss","williams",6
"334","moment's","recollection",6
"335","momentary","glance",6
"336","morning","brought",6
"337","morrow","evening",6
"338","nearest","relations",6
"339","night's","rest",6
"340","perfectly","comprehend",6
"341","perfectly","natural",6
"342","poor","james",6
"343","poor","jane",6
"344","poor","soul",6
"345","prior","engagement",6
"346","proper","attention",6
"347","replied","darcy",6
"348","replied","sir",6
"349","sick","chamber",6
"350","sir","william's",6
"351","slight","acquaintance",6
"352","slight","bow",6
"353","st","james's",6
"354","stepping","forward",6
"355","taking","leave",6
"356","ten","o'clock",6
"357","thirty","thousand",6
"358","till","sir",6
"359","time","till",6
"360","uncle's","house",6
"361","walk","home",6
"362","absolutely","impossible",5
"363","anne","cried",5
"364","aye","aye",5
"365","bad","sore",5
"366","barouche","box",5
"367","bartlett's","buildings",5
"368","breakfast","table",5
"369","calmly","replied",5
"370","captain","harville's",5
"371","catching","cold",5
"372","catherine","listened",5
"373","colonel","fitzwilliam's",5
"374","comfortable","home",5
"375","coming","home",5
"376","considerable","time",5
"377","continued","elinor",5
"378","count","cassel",5
"379","cried","captain",5
"380","cried","tom",5
"381","darcy","looked",5
"382","dark","eyes",5
"383","day","passed",5
"384","days","passed",5
"385","dear","creature",5
"386","dear","edmund",5
"387","dear","ma'am",5
"388","dear","papa",5
"389","dear","wickham",5
"390","dearest","creature",5
"391","dearest","fanny",5
"392","due","time",5
"393","elinor","wished",5
"394","elinor's","heart",5
"395","elizabeth","listened",5
"396","emma","laughing",5
"397","emma","woodhouse",5
"398","extremely","agreeable",5
"399","extremely","fond",5
"400","eyes","fixed",5
"401","faint","smile",5
"402","fair","friend",5
"403","family","dinner",5
"404","fanny's","feelings",5
"405","fanny's","heart",5
"406","favourable","answer",5
"407","fifty","thousand",5
"408","flower","garden",5
"409","forty","speeches",5
"410","frederick","wentworth",5
"411","gentleman's","residence",5
"412","gravely","replied",5
"413","ha","ha",5
"414","hair","cut",5
"415","handsome","letter",5
"416","happily","settled",5
"417","heart","beat",5
"418","highly","gratified",5
"419","home","directly",5
"420","hours","ago",5
"421","human","mind",5
"422","humble","abode",5
"423","hundred","miles",5
"424","ill","tempered",5
"425","independent","fortune",5
"426","jane","looked",5
"427","john","middleton",5
"428","late","dinner",5
"429","laughed","heartily",5
"430","leaving","mansfield",5
"431","left","bath",5
"432","longbourn","estate",5
"433","maria","bertram",5
"434","marianne","looked",5
"435","marlborough","buildings",5
"436","marry","miss",5
"437","marrying","jane",5
"438","marrying","miss",5
"439","mere","trifle",5
"440","mill","farm",5
"441","minutes","silence",5
"442","miss","bennet's",5
"443","miss","darcy's",5
"444","miss","dashwood's",5
"445","miss","king",5
"446","miss","lucy",5
"447","miss","owens",5
"448","monstrous","glad",5
"449","morning","visit",5
"450","morrow","morning",5
"451","musical","society",5
"452","netherfield","ball",5
"453","observed","sir",5
"454","parlour","door",5
"455","perfect","happiness",5
"456","perfectly","aware",5
"457","perfectly","comfortable",5
"458","perfectly","happy",5
"459","pleasant","party",5
"460","poor","sir",5
"461","positive","engagement",5
"462","quick","eye",5
"463","read","novels",5
"464","readily","agreed",5
"465","real","affection",5
"466","replied","lucy",5
"467","sad","business",5
"468","sick","child",5
"469","silent","till",5
"470","sir","replied",5
"471","sister","mary",5
"472","sister","price",5
"473","sister's","feelings",5
"474","sixteen","miles",5
"475","speak","ill",5
"476","strong","attachment",5
"477","sudden","change",5
"478","sweet","girl",5
"479","sweetest","catherine",5
"480","ten","couple",5
"481","thomas","bertram",5
"482","till","tuesday",5
"483","twelve","o'clock",5
"484","uppercross","cottage",5
"485","warm","attachment",5
"486","warm","hearted",5
"487","weeks","ago",5
"488","white","house",5
"489","worthy","people",5
"490","absolutely","resolved",4
"491","added","sir",4
"492","admiral","crawford",4
"493","admiral","croft's",4
"494","affectionate","brother",4
"495","agreeable","manner",4
"496","agreeable","manners",4
"497","agreeable","surprise",4
"498","ah","miss",4
"499","altered","creature",4
"500","aunt","phillips",4
"501","bad","cold",4
"502","bad","weather",4
"503","beautiful","girl",4
"504","beg","leave",4
"505","bingley's","regard",4
"506","bowling","green",4
"507","bring","forward",4
"508","broken","heart",4
"509","brought","home",4
"510","captain","benwick's",4
"511","captain","carter",4
"512","captain","tilney's",4
"513","catherine","heard",4
"514","catherine","immediately",4
"515","catherine's","feelings",4
"516","catherine's","heart",4
"517","catherine's","mind",4
"518","changed","colour",4
"519","chapter","1",4
"520","chapter","10",4
"521","chapter","11",4
"522","chapter","12",4
"523","chapter","13",4
"524","chapter","14",4
"525","chapter","15",4
"526","chapter","16",4
"527","chapter","17",4
"528","chapter","18",4
"529","chapter","19",4
"530","chapter","2",4
"531","chapter","20",4
"532","chapter","21",4
"533","chapter","22",4
"534","chapter","23",4
"535","chapter","24",4
"536","chapter","3",4
"537","chapter","4",4
"538","chapter","5",4
"539","chapter","6",4
"540","chapter","7",4
"541","chapter","8",4
"542","chapter","9",4
"543","chapter","ii",4
"544","chapter","iii",4
"545","chapter","iv",4
"546","chapter","ix",4
"547","chapter","vi",4
"548","chapter","vii",4
"549","chapter","viii",4
"550","chapter","xi",4
"551","chapter","xii",4
"552","chapter","xiii",4
"553","chapter","xiv",4
"554","chapter","xv",4
"555","chapter","xvi",4
"556","chapter","xvii",4
"557","chapter","xviii",4
"558","chief","consolation",4
"559","chief","object",4
"560","christmas","holidays",4
"561","comfortably","settled",4
"562","coming","eagerly",4
"563","common","acquaintance",4
"564","common","phrase",4
"565","common","prudence",4
"566","constant","companion",4
"567","continued","lucy",4
"568","cousin","charles",4
"569","cried","bingley",4
"570","cried","charles",4
"571","cried","thorpe",4
"572","day","till",4
"573","day's","journey",4
"574","de","bourgh's",4
"575","dear","charlotte",4
"576","dear","eliza",4
"577","dear","friends",4
"578","dear","maria",4
"579","dear","replied",4
"580","dear","william",4
"581","deep","mortification",4
"582","delightful","evening",4
"583","dinner","party",4
"584","direct","answer",4
"585","domestic","comfort",4
"586","domestic","felicity",4
"587","dowager","viscountess",4
"588","easy","distance",4
"589","edmund","bertram",4
"590","edmund","miss",4
"591","elder","brother",4
"592","elder","miss",4
"593","eldest","brother",4
"594","eldest","miss",4
"595","elinor","told",4
"596","elizabeth","received",4
"597","elton","looked",4
"598","emma","continued",4
"599","emma","heard",4
"600","emma","watched",4
"601","emma","wished",4
"602","emma's","feelings",4
"603","evening","chapter",4
"604","excellent","creature",4
"605","exploring","parties",4
"606","eyes","brightened",4
"607","faint","blush",4
"608","fairfax's","situation",4
"609","fanny","dance",4
"610","fanny","looked",4
"611","farther","explanation",4
"612","farther","notice",4
"613","fashionable","world",4
"614","father","miss",4
"615","father's","consent",4
"616","favourite","child",4
"617","fifty","miles",4
"618","fifty","times",4
"619","fine","country",4
"620","fine","family",4
"621","fine","girl",4
"622","fine","morning",4
"623","fine","weather",4
"624","forced","calmness",4
"625","forty","miles",4
"626","found","fault",4
"627","fresh","air",4
"628","friend","harriet",4
"629","friend","lady",4
"630","friendly","note",4
"631","gentleman's","daughter",4
"632","giving","pain",4
"633","giving","pleasure",4
"634","glance","round",4
"635","hall","door",4
"636","hand","writing",4
"637","handsomely","fitted",4
"638","happy","couple",4
"639","hard","hearted",4
"640","harriet","smith's",4
"641","harriet's","mind",4
"642","head","aches",4
"643","heart","sunk",4
"644","heart","swelling",4
"645","heartily","glad",4
"646","heaven","forbid",4
"647","heavens","cried",4
"648","highly","expedient",4
"649","home","chapter",4
"650","hope","miss",4
"651","hour","passed",4
"652","hundred","times",4
"653","hurried","manner",4
"654","imprudent","marriage",4
"655","infinitely","worse",4
"656","james","benwick",4
"657","julia","bertram",4
"658","knightley","looked",4
"659","knightley's","marrying",4
"660","lady","stornaway",4
"661","landed","property",4
"662","lavender","water",4
"663","leave","bath",4
"664","leave","london",4
"665","leave","mansfield",4
"666","leave","taking",4
"667","leave","town",4
"668","left","london",4
"669","letter","writing",4
"670","looked","surprised",4
"671","lord","ravenshaw",4
"672","lower","tone",4
"673","material","change",4
"674","meet","miss",4
"675","minutes","conversation",4
"676","miss","anderson",4
"677","miss","churchill",4
"678","miss","hamilton",4
"679","miss","jane",4
"680","miss","thorpes",4
"681","moment","catherine",4
"682","money","matters",4
"683","month","ago",4
"684","moor","park",4
"685","native","air",4
"686","natural","consequence",4
"687","nicely","dressed",4
"688","nurse","rooke",4
"689","one's","eyes",4
"690","openly","acknowledged",4
"691","parlour","boarder",4
"692","people's","feelings",4
"693","perfect","approbation",4
"694","perfectly","agreed",4
"695","perfectly","amiable",4
"696","perfectly","indifferent",4
"697","perfectly","ready",4
"698","perfectly","remember",4
"699","perfectly","safe",4
"700","perfectly","understand",4
"701","perfectly","understood",4
"702","phoo","phoo",4
"703","pleasant","evening",4
"704","pleasant","people",4
"705","pleasant","walk",4
"706","pleasure","grounds",4
"707","pocket","book",4
"708","poor","richard",4
"709","pray","miss",4
"710","pray","pray",4
"711","private","balls",4
"712","private","life",4
"713","quick","sighted",4
"714","quiet","reflection",4
"715","reached","home",4
"716","reading","aloud",4
"717","real","feeling",4
"718","real","taste",4
"719","real","truth",4
"720","remarkably","fine",4
"721","remarkably","handsome",4
"722","replied","edmund",4
"723","rest","till",4
"724","returned","elinor",4
"725","returned","home",4
"726","returning","home",4
"727","rivers","street",4
"728","robert","martin's",4
"729","saturday","night",4
"730","scarcely","spoke",4
"731","selfish","vanity",4
"732","setting","forward",4
"733","shake","hands",4
"734","shaken","hands",4
"735","shook","hands",4
"736","short","letter",4
"737","short","period",4
"738","sincerely","attached",4
"739","sir","charles",4
"740","sir","henry",4
"741","sister","married",4
"742","sister's","account",4
"743","sparkling","eyes",4
"744","speak","openly",4
"745","speaking","low",4
"746","spread","abroad",4
"747","spruce","beer",4
"748","step","forward",4
"749","stepped","forward",4
"750","strong","sense",4
"751","strong","understanding",4
"752","struck","twelve",4
"753","sudden","recollection",4
"754","suddenly","struck",4
"755","sunday","evening",4
"756","sweep","gate",4
"757","sweet","catherine",4
"758","sweet","tempered",4
"759","t'other","day",4
"760","tea","table",4
"761","ten","times",4
"762","thomas's","return",4
"763","till","colonel",4
"764","till","dinner",4
"765","till","yesterday",4
"766","time","anne",4
"767","time","emma",4
"768","time","pleasantly",4
"769","told","miss",4
"770","tolerable","comfort",4
"771","tolerably","cheerful",4
"772","tolerably","happy",4
"773","total","silence",4
"774","true","cried",4
"775","true","true",4
"776","usual","cheerfulness",4
"777","usual","style",4
"778","usual","time",4
"779","utter","amazement",4
"780","vicarage","lane",4
"781","walk","half",4
"782","walked","slowly",4
"783","walking","home",4
"784","wedding","cake",4
"785","week","ago",4
"786","weston","smiling",4
"787","whist","table",4
"788","white","hart",4
"789","wholly","engrossed",4
"790","wholly","unexpected",4
"791","william","price",4
"792","woman","lovely",4
"793","worth","hearing",4
"794","worth","knowing",4
"795","worth","listening",4
"796","writing","desk",4
"797","_her_","feelings",3
"798","10","pounds",3
"799","absent","cousins",3
"800","aching","head",3
"801","acquaintance","worth",3
"802","acting","wrong",3
"803","active","service",3
"804","admiral","baldwin",3
"805","affectionate","attention",3
"806","affectionate","mother",3
"807","affectionate","smile",3
"808","agitated","manner",3
"809","agitated","spirits",3
"810","agreeable","girls",3
"811","amazingly","glad",3
"812","anne","heard",3
"813","anne","smiled",3
"814","anne","walked",3
"815","anxious","attention",3
"816","apparent","indifference",3
"817","attention","chapter",3
"818","aunt","norris's",3
"819","averted","eyes",3
"820","bad","feelings",3
"821","bath","street",3
"822","beat","quick",3
"823","bed","chamber",3
"824","beloved","catherine",3
"825","bennet","replied",3
"826","billiard","table",3
"827","black","veil",3
"828","blue","eyes",3
"829","breakfast","time",3
"830","brotherly","affection",3
"831","buy","wedding",3
"832","captain","frederick",3
"833","captain","weston",3
"834","card","parties",3
"835","carefully","avoided",3
"836","caro","sposo",3
"837","carriage","drive",3
"838","carried","home",3
"839","catherine","coloured",3
"840","catherine","looked",3
"841","catherine","walked",3
"842","caught","hold",3
"843","ceased","speaking",3
"844","chapter","25",3
"845","chapter","26",3
"846","chapter","27",3
"847","chapter","28",3
"848","chapter","29",3
"849","chapter","30",3
"850","chapter","31",3
"851","charming","women",3
"852","chiefly","addressed",3
"853","church","yard",3
"854","circulating","library",3
"855","circumstance","occurred",3
"856","circumstances","attending",3
"857","civil","answer",3
"858","cold","civility",3
"859","collins","returned",3
"860","comfort","chapter",3
"861","comfort","miss",3
"862","coming","round",3
"863","common","life",3
"864","complete","enjoyment",3
"865","composure","till",3
"866","concerned","sir",3
"867","confidential","discourse",3
"868","conscience","told",3
"869","constant","attendance",3
"870","continual","repetition",3
"871","convenient","distance",3
"872","convinced","miss",3
"873","country","dance",3
"874","country","family",3
"875","country","life",3
"876","country","neighbourhood",3
"877","cousin","elizabeth",3
"878","crawford","fanny",3
"879","crawford","listened",3
"880","crawford","walked",3
"881","crawford's","character",3
"882","crawford's","opinion",3
"883","cream","cheese",3
"884","creature","knowing",3
"885","cried","isabella",3
"886","cried","julia",3
"887","cried","louisa",3
"888","cried","lydia",3
"889","cried","maria",3
"890","daily","intercourse",3
"891","dancing","days",3
"892","darcy's","letter",3
"893","dark","eye",3
"894","daughter","elizabeth",3
"895","daughter","married",3
"896","daughters","married",3
"897","day","arrived",3
"898","day","sir",3
"899","day's","delay",3
"900","day's","sport",3
"901","days","time",3
"902","dear","edward",3
"903","dear","family",3
"904","dear","girls",3
"905","dear","henry",3
"906","dear","marianne",3
"907","dear","mary",3
"908","dear","norland",3
"909","dear","sweet",3
"910","dear","uncle",3
"911","dear","willoughby",3
"912","dearest","friend",3
"913","dearest","friends",3
"914","dearest","henry",3
"915","dearest","jane",3
"916","dearest","sweetest",3
"917","dearly","love",3
"918","dearly","loved",3
"919","decided","negative",3
"920","decided","preference",3
"921","deep","sigh",3
"922","deeply","afflicted",3
"923","deeply","mortified",3
"924","desirable","companion",3
"925","determined","manner",3
"926","determined","silence",3
"927","dinner","engagement",3
"928","dinner","parties",3
"929","directly","replied",3
"930","distant","relation",3
"931","domestic","life",3
"932","door","bell",3
"933","drank","tea",3
"934","dressing","gown",3
"935","drive","home",3
"936","eager","voice",3
"937","eagerly","forward",3
"938","earnest","contemplation",3
"939","earnestly","pressed",3
"940","easily","satisfied",3
"941","easter","holidays",3
"942","easy","manner",3
"943","easy","temper",3
"944","eat","drink",3
"945","edmund","added",3
"946","edmund's","account",3
"947","edward's","affection",3
"948","edward's","mother",3
"949","eldest","cousin",3
"950","eleanor","tilney",3
"951","elegant","woman",3
"952","elegantly","dressed",3
"953","eleven","o'clock",3
"954","elinor","looked",3
"955","elinor","perceived",3
"956","elinor","smiling",3
"957","eliza","bennet",3
"958","elizabeth","feeling",3
"959","elizabeth","instantly",3
"960","elizabeth","related",3
"961","elliot","appeared",3
"962","elliot","countenance",3
"963","elliot","pride",3
"964","elliot's","character",3
"965","emma","guessed",3
"966","emma","laughed",3
"967","emma","listened",3
"968","emma","looked",3
"969","emma","smiled",3
"970","emma","spoke",3
"971","emma","time",3
"972","english","style",3
"973","equal","degree",3
"974","equal","force",3
"975","equally","ill",3
"976","equally","satisfied",3
"977","evening","brought",3
"978","evening","elizabeth",3
"979","evening","engagements",3
"980","exceedingly","fond",3
"981","exceedingly","glad",3
"982","exceedingly","happy",3
"983","excellent","father",3
"984","excepting","edmund",3
"985","excessively","fond",3
"986","excessively","pleased",3
"987","excessively","pretty",3
"988","expressive","smile",3
"989","extensive","grounds",3
"990","extremely","ill",3
"991","extremely","pretty",3
"992","fair","cousin",3
"993","fair","sister",3
"994","fairly","supposed",3
"995","false","step",3
"996","faltering","voice",3
"997","family","connections",3
"998","family","connexions",3
"999","family","living",3
"1000","family","matters",3
"1001","family","sir",3
"1002","fanny","coloured",3
"1003","fanny","edmund",3
"1004","fanny","harville",3
"1005","fanny's","account",3
"1006","fanny's","eyes",3
"1007","fanny's","mind",3
"1008","farm","house",3
"1009","farther","delay",3
"1010","farther","opposition",3
"1011","farther","particulars",3
"1012","father's","behaviour",3
"1013","father's","comfort",3
"1014","father's","marriage",3
"1015","father's","opinion",3
"1016","father's","return",3
"1017","favourable","idea",3
"1018","favourable","opinion",3
"1019","favourite","walk",3
"1020","feel","equal",3
"1021","feel","secure",3
"1022","feelings","fanny",3
"1023","fellow","creatures",3
"1024","female","mind",3
"1025","fifty","yards",3
"1026","finally","resolved",3
"1027","fine","eyes",3
"1028","fine","ladies",3
"1029","fine","woman",3
"1030","fond","attachment",3
"1031","fortunate","creature",3
"1032","frequent","visits",3
"1033","friend","colonel",3
"1034","friend","knightley",3
"1035","friend","marianne",3
"1036","friendly","terms",3
"1037","frozen","maid",3
"1038","future","home",3
"1039","gentle","sigh",3
"1040","gentlemanlike","appearance",3
"1041","genuine","satisfaction",3
"1042","girls","walked",3
"1043","god","bless",3
"1044","god","cried",3
"1045","grand","pianoforte",3
"1046","grateful","pleasure",3
"1047","grateful","respect",3
"1048","greatly","improved",3
"1049","green","baize",3
"1050","green","house",3
"1051","grew","tired",3
"1052","grey","pony",3
"1053","hackney","coach",3
"1054","half","ashamed",3
"1055","half","inclined",3
"1056","hand","pressed",3
"1057","hanover","square",3
"1058","happy","conclusion",3
"1059","happy","countenance",3
"1060","happy","creature",3
"1061","happy","day",3
"1062","happy","effect",3
"1063","happy","hours",3
"1064","happy","woman",3
"1065","harriet","cried",3
"1066","harriet","harriet",3
"1067","harriet's","account",3
"1068","harriet's","manner",3
"1069","heart","swelled",3
"1070","hearted","girl",3
"1071","heartfelt","satisfaction",3
"1072","heartily","ashamed",3
"1073","heavy","sigh",3
"1074","hedge","row",3
"1075","heir","presumptive",3
"1076","henry","dashwood",3
"1077","highly","accomplished",3
"1078","hill","party",3
"1079","home","fanny",3
"1080","hour","fanny",3
"1081","hour's","notice",3
"1082","hours","passed",3
"1083","hours","sooner",3
"1084","house","chapter",3
"1085","house","fanny",3
"1086","human","creature",3
"1087","humoured","smile",3
"1088","humoured","unaffected",3
"1089","ill","bear",3
"1090","ill","breeding",3
"1091","ill","consequence",3
"1092","ill","consequences",3
"1093","ill","judging",3
"1094","ill","luck",3
"1095","ill","qualified",3
"1096","ill","success",3
"1097","immediately","left",3
"1098","increasing","attachment",3
"1099","inferior","society",3
"1100","infinitely","obliged",3
"1101","informed","mind",3
"1102","instantly","rising",3
"1103","instantly","withdrawn",3
"1104","intimate","acquaintance",3
"1105","intimate","footing",3
"1106","intimate","knowledge",3
"1107","iron","gate",3
"1108","james","morland",3
"1109","jane","jane",3
"1110","jane's","feelings",3
"1111","jane's","letter",3
"1112","joyful","consent",3
"1113","julia's","elopement",3
"1114","kellynch","estate",3
"1115","kindly","disposed",3
"1116","kindly","meant",3
"1117","kitchen","garden",3
"1118","knightley","coolly",3
"1119","knightley","presently",3
"1120","lady","elliott",3
"1121","ladyship's","carriage",3
"1122","laughing","affectedly",3
"1123","laurentina's","skeleton",3
"1124","lay","awake",3
"1125","leaving","highbury",3
"1126","leaving","london",3
"1127","led","astray",3
"1128","left","brighton",3
"1129","left","home",3
"1130","left","mansfield",3
"1131","lengthened","absence",3
"1132","lewis","de",3
"1133","liberal","minded",3
"1134","light","eyes",3
"1135","limited","means",3
"1136","lively","girl",3
"1137","lively","mind",3
"1138","lively","spirits",3
"1139","longbourn","elizabeth",3
"1140","longbourn","house",3
"1141","looked","exceedingly",3
"1142","lottery","tickets",3
"1143","lucky","fellow",3
"1144","lucky","guess",3
"1145","lydia","bennet",3
"1146","ma'am","replied",3
"1147","man's","nature",3
"1148","mansfield","common",3
"1149","mansfield","wood",3
"1150","mantel","piece",3
"1151","marianne","continued",3
"1152","marianne","cried",3
"1153","marianne","dashwood",3
"1154","marianne","remained",3
"1155","marianne's","affection",3
"1156","marianne's","heart",3
"1157","market","town",3
"1158","married","till",3
"1159","married","woman",3
"1160","marry","lydia",3
"1161","material","advantage",3
"1162","material","difference",3
"1163","material","inconvenience",3
"1164","means","forgotten",3
"1165","melancholy","change",3
"1166","middleton's","mother",3
"1167","miles","round",3
"1168","minute","brought",3
"1169","minutes","earlier",3
