Parent	Child	relationType	edgeScore	Freq
DAG1	LATS2	Type 0	0.301136	0.301136
MARS2	FAM136A	Type 0	0.331200	0.331200
SLC25A19	FAM136A	Type 0	0.996935	0.996935
LYAR	FAM136A	Type 0	0.496296	0.496296
FAM136A	ID2B	Type 0	0.278071	0.278071
FAM136A	CD68	Type 0	0.200542	0.200542
FAM136A	CBLB	Type 0	0.201524	0.201524
FAM136A	CYP2R1	Type 0	0.296474	0.296474
FAM136A	RPL34	Type 0	0.253428	0.253428
FAM136A	LMOD3	Type 0	0.220401	0.220401
FAM136A	LARP2	Type 0	0.901146	0.901146
FAM136A	ISOC1	Type 0	0.218182	0.218182
FAM136A	ANGPTL1	Type 0	0.301517	0.301517
FAM136A	RFFL	Type 0	0.501465	0.501465
FAM136A	MTFMT	Type 0	0.298756	0.298756
MAGEA1	MAGEA6	Type 0	0.381009	0.381009
MAGEA6	MAGEA1	Type 0	0.335324	0.335324
BAALC	TNFRSF10A	Type 0	0.666165	0.666165
TNFRSF10A	BAALC	Type 0	0.327477	0.327477
TNFRSF10A	CRYAB	Type 0	0.409001	0.409001
ADCY6	SLC44A1	Type 0	0.257671	0.257671
RHOBTB3	SLC44A1	Type 0	0.246137	0.246137
KLF3	SLC44A1	Type 0	0.989379	0.989379
ZEB1	SLC44A1	Type 0	0.220000	0.220000
ALOX5AP	SLC44A1	Type 0	0.237594	0.237594
LRRC16	SLC44A1	Type 0	0.299870	0.299870
SCARB2	SLC44A1	Type 0	0.410211	0.410211
PIF1	C15orf42	Type 0	0.351828	0.351828
ORC1L	C15orf42	Type 0	0.204590	0.204590
BLM	C15orf42	Type 0	0.304158	0.304158
RAD54L	C15orf42	Type 0	0.203114	0.203114
ZWINT	C15orf42	Type 0	0.242089	0.242089
NUSAP1	C15orf42	Type 0	0.225172	0.225172
C15orf42	KCNIP4	Type 0	0.266667	0.266667
C15orf42	PIF1	Type 0	0.632015	0.632015
C15orf42	TMEM97	Type 0	0.673604	0.673604
C15orf42	KLHL25	Type 0	0.798853	0.798853
C15orf42	UBE2C	Type 0	0.321990	0.321990
C15orf42	FASN	Type 0	0.294821	0.294821
MST1R	TRO	Type 0	0.210684	0.210684
JAM3	TRO	Type 0	0.273111	0.273111
AEBP1	TRO	Type 0	0.851550	0.851550
TRO	MAGED4B	Type 0	1.000000	1.000000
TRO	COL11A1	Type 0	0.286368	0.286368
TRO	MLLT11	Type 0	0.940966	0.940966
TRO	LOC283481	Type 0	0.297501	0.297501
TRO	TMSL8	Type 0	0.226479	0.226479
SPRY2	GLRA3	Type 0	0.243354	0.243354
ZNF503	GLRA3	Type 0	0.450612	0.450612
TXLNB	GLRA3	Type 0	0.263158	0.263158
LOC730125	GLRA3	Type 0	0.958197	0.958197
VPREB1	GLRA3	Type 0	0.287663	0.287663
TCL1B	GLRA3	Type 0	0.219251	0.219251
TCL1A	GLRA3	Type 0	0.299396	0.299396
GRIN2B	CXorf20	Type 0	0.503250	0.503250
CXorf20	VIP	Type 0	0.292092	0.292092
CXorf20	SOX1	Type 0	0.216487	0.216487
CXorf20	TARP	Type 0	0.258683	0.258683
CXorf20	TRPC3	Type 0	0.892651	0.892651
CXorf20	FLJ32894	Type 0	0.366210	0.366210
CXorf20	ST18	Type 0	0.364675	0.364675
KIAA1166	COBLL1	Type 0	0.508167	0.508167
SEPT6	COBLL1	Type 0	0.294310	0.294310
GRB14	COBLL1	Type 0	0.984095	0.984095
BTBD14A	HSD17B8	Type 0	0.220390	0.220390
UBTD1	HSD17B8	Type 0	0.300939	0.300939
CAP2	HSD17B8	Type 0	0.998410	0.998410
ENC1	TK1	Type 0	0.255738	0.255738
SLC2A4RG	TK1	Type 0	0.293504	0.293504
PPP1R13L	TK1	Type 0	0.300130	0.300130
SMCR7	TK1	Type 0	0.245737	0.245737
FAM83D	TK1	Type 0	0.473331	0.473331
CNOT6L	TK1	Type 0	0.295968	0.295968
TK1	MGC34774	Type 0	0.207273	0.207273
PLEKHC1	SMARCA1	Type 0	0.482583	0.482583
MYB	SMARCA1	Type 0	0.252188	0.252188
KIRREL	SMARCA1	Type 0	0.998607	0.998607
SMARCA1	COL18A1	Type 0	0.213172	0.213172
SMARCA1	LOC283666	Type 0	0.300177	0.300177
SMARCA1	NOD2	Type 0	0.309388	0.309388
SMARCA1	TMPRSS3	Type 0	0.312476	0.312476
SMARCA1	FKBP1B	Type 0	0.299354	0.299354
ZNF521	SLC5A3	Type 0	0.250737	0.250737
ROBO4	SLC5A3	Type 0	0.210850	0.210850
GSDML	WRB	Type 0	0.299284	0.299284
SH3BGR	WRB	Type 0	0.997806	0.997806
ZNF25	WRB	Type 0	0.218570	0.218570
GPD1L	WRB	Type 0	0.457211	0.457211
MOSPD3	WRB	Type 0	0.295507	0.295507
DDX3Y	TMSB4Y	Type 0	0.239353	0.239353
CYorf15B	TMSB4Y	Type 0	0.697638	0.697638
SPEG	TMSB4Y	Type 0	0.240370	0.240370
COL18A1	TMSB4Y	Type 0	0.202946	0.202946
ZNF350	TMSB4Y	Type 0	0.246850	0.246850
TMSB4Y	XIST	Type 0	0.284787	0.284787
TMSB4Y	UTY	Type 0	0.210138	0.210138
TJP1	DLG5	Type 0	0.983246	0.983246
KIAA1522	DLG5	Type 0	0.418490	0.418490
DLG5	CACNG4	Type 0	0.300146	0.300146
DLG5	CDK6	Type 0	0.421500	0.421500
DLG5	SPG3A	Type 0	0.201773	0.201773
DLG5	NPY1R	Type 0	0.268709	0.268709
DLG5	LPIN1	Type 0	1.000000	1.000000
DLG5	C2orf43	Type 0	0.639245	0.639245
SKP2	TFDP1	Type 0	0.300723	0.300723
HMGB1	TFDP1	Type 0	0.296075	0.296075
C13orf7	TFDP1	Type 0	0.504956	0.504956
C13orf8	TFDP1	Type 0	0.498664	0.498664
TFDP1	SKP2	Type 0	0.445746	0.445746
TFDP1	C13orf8	Type 0	0.501336	0.501336
KCNK1	EIF4E3	Type 0	0.276190	0.276190
CAMKK1	CROCC	Type 0	0.322936	0.322936
KREMEN1	CROCC	Type 0	0.292877	0.292877
FREQ	CROCC	Type 0	0.993696	0.993696
PJA1	CROCC	Type 0	0.239509	0.239509
C1orf102	CROCC	Type 0	0.293191	0.293191
C14orf79	CROCC	Type 0	0.217530	0.217530
CROCC	OAT	Type 0	0.299017	0.299017
CROCC	GARNL3	Type 0	0.473235	0.473235
CROCC	CELSR2	Type 0	0.211401	0.211401
PHLDB2	EPHA4	Type 0	0.275501	0.275501
TMEM132A	EPHA4	Type 0	0.708867	0.708867
BACE1	EPHA4	Type 0	0.270379	0.270379
EPHA4	EDG3	Type 0	0.256351	0.256351
MYBL1	ANKRD10	Type 0	0.233526	0.233526
PCCA	ANKRD10	Type 0	0.248826	0.248826
ANKRD10	GLS	Type 0	0.300230	0.300230
CLDN3	ZNF511	Type 0	0.413349	0.413349
ATAD4	ZNF511	Type 0	0.223588	0.223588
TRIM15	ZNF511	Type 0	0.996075	0.996075
ZNF511	GSTT1	Type 0	0.292276	0.292276
ZNF511	LOC751071	Type 0	0.297609	0.297609
MAGEA1	MAGEA3	Type 0	0.309645	0.309645
MAGEA6	MAGEA3	Type 0	0.487404	0.487404
MAGEA3	MAGEA6	Type 0	0.512596	0.512596
GPR160	HAPLN3	Type 0	0.205045	0.205045
KIRREL	HAPLN3	Type 0	0.317858	0.317858
TPST1	HAPLN3	Type 0	0.239437	0.239437
HAPLN3	C16orf30	Type 0	0.238390	0.238390
WWOX	MGC33212	Type 0	0.289474	0.289474
NANOS1	MGC33212	Type 0	0.285106	0.285106
FNDC5	MGC33212	Type 0	0.227136	0.227136
MGC33212	WWOX	Type 0	0.258621	0.258621
EPHA2	TMED7	Type 0	0.995705	0.995705
RTN4	TMED7	Type 0	0.257978	0.257978
TMED7	CYB5R2	Type 0	0.268024	0.268024
TMED7	PDLIM4	Type 0	0.443828	0.443828
TMED7	TIPRL	Type 0	0.558075	0.558075
TMED7	GLIPR1L2	Type 0	0.219444	0.219444
TMED7	HMBOX1	Type 0	0.283229	0.283229
TMED7	TICAM2	Type 0	0.205147	0.205147
TMED7	ZNF398	Type 0	0.234277	0.234277
TMED7	PGM3	Type 0	0.385076	0.385076
LAD1	MAGEH1	Type 0	0.240329	0.240329
AIM1L	MAGEH1	Type 0	0.554145	0.554145
MAGEH1	XAGE1D	Type 0	0.273896	0.273896
MAGEH1	NAP1L2	Type 0	0.615489	0.615489
MAGEH1	SLAMF7	Type 0	0.296356	0.296356
MAGEH1	SLC9A9	Type 0	0.335258	0.335258
MAGEH1	MAGEC1	Type 0	0.258513	0.258513
MAGEH1	EYA1	Type 0	0.263473	0.263473
MAGEH1	KIAA1383	Type 0	0.488914	0.488914
IL8	SERPINB8	Type 0	0.230460	0.230460
IFITM2	SERPINB8	Type 0	0.501138	0.501138
TIMP1	SERPINB8	Type 0	0.708173	0.708173
CHD7	SERPINB8	Type 0	0.441738	0.441738
PLAUR	SERPINB8	Type 0	0.571697	0.571697
SERPINB8	IL8	Type 0	0.212069	0.212069
SERPINB8	ANTXR2	Type 0	0.462252	0.462252
SERPINB8	TIMP1	Type 0	0.291827	0.291827
SERPINB8	MSRA	Type 0	1.000000	1.000000
DAPP1	KIAA0247	Type 0	0.750182	0.750182
CD86	KIAA0247	Type 0	0.212897	0.212897
VAMP8	KIAA0247	Type 0	0.234144	0.234144
BLNK	KIAA0247	Type 0	0.279047	0.279047
TRIM22	KIAA0247	Type 0	0.402261	0.402261
TMEM154	KIAA0247	Type 0	0.480444	0.480444
C3orf39	KIAA0247	Type 0	0.299879	0.299879
KIAA0247	TMEM154	Type 0	0.519556	0.519556
KIAA0247	DAAM1	Type 0	0.291913	0.291913
KIAA0247	BCORL1	Type 0	0.232935	0.232935
KIAA0247	LZTFL1	Type 0	0.261526	0.261526
METTL7A	HIST1H1C	Type 0	0.296500	0.296500
DIAPH2	HIST1H1C	Type 0	0.250650	0.250650
HIST1H1C	HIST1H2BD	Type 0	0.294396	0.294396
GNG11	PDE7B	Type 0	0.999807	0.999807
FBN1	PDE7B	Type 0	0.205795	0.205795
PTPRM	PDE7B	Type 0	0.296019	0.296019
C6orf176	PDE7B	Type 0	0.478167	0.478167
PPP1R3C	PDE7B	Type 0	0.272415	0.272415
PDE7B	FAM139A	Type 0	0.207414	0.207414
PDE7B	ISL1	Type 0	0.965090	0.965090
KRT5	LOC219854	Type 0	0.223423	0.223423
CDH5	LOC219854	Type 0	0.296041	0.296041
ZBTB44	LOC219854	Type 0	0.279134	0.279134
USP3	LOC219854	Type 0	0.375846	0.375846
STT3A	LOC219854	Type 0	0.372615	0.372615
TRIM17	LOC219854	Type 0	0.494769	0.494769
LOC219854	ECHDC1	Type 0	0.208311	0.208311
LOC219854	CHIC1	Type 0	0.946629	0.946629
LOC219854	STT3A	Type 0	0.627385	0.627385
LOC219854	FAM14B	Type 0	0.273031	0.273031
LOC219854	TRIM17	Type 0	0.505231	0.505231
POF1B	ELMOD1	Type 0	0.475995	0.475995
JAM3	ELMOD1	Type 0	0.993747	0.993747
RGS17	ELMOD1	Type 0	0.300138	0.300138
OSBPL6	ELMOD1	Type 0	0.283553	0.283553
TRPS1	SOX3	Type 0	0.318516	0.318516
NPY1R	SOX3	Type 0	0.238875	0.238875
DSCAM	SOX3	Type 0	0.275825	0.275825
HMGCLL1	SOX3	Type 0	0.493020	0.493020
SOX3	SOX2	Type 0	0.448211	0.448211
SOX3	ACSS3	Type 0	0.270195	0.270195
SOX3	LIN7A	Type 0	0.287310	0.287310
SOX3	NPY1R	Type 0	0.239587	0.239587
SOX3	ESR1	Type 0	0.416838	0.416838
SOX3	AR	Type 0	0.285397	0.285397
SOX3	HSD17B11	Type 0	0.294733	0.294733
SOX3	DSCAM	Type 0	0.513578	0.513578
SOX3	TFCP2	Type 0	0.917839	0.917839
SOX3	EFHD1	Type 0	0.853435	0.853435
SOX3	HMGCLL1	Type 0	0.506980	0.506980
TMEM63A	PARP4	Type 0	0.297641	0.297641
ETHE1	PARP4	Type 0	0.407724	0.407724
IFT88	PARP4	Type 0	0.293878	0.293878
SLC44A4	PARP4	Type 0	0.268464	0.268464
PARP4	DIAPH2	Type 0	0.297386	0.297386
PARP4	CECR2	Type 0	0.300550	0.300550
PARP4	IFT88	Type 0	0.256122	0.256122
PARP4	USP12	Type 0	0.232836	0.232836
MAGEA1	MAGEA12	Type 0	0.452528	0.452528
MAGEA3	MAGEA12	Type 0	0.209970	0.209970
MAGEA12	MAGEA1	Type 0	0.547472	0.547472
SUSD3	PACSIN1	Type 0	0.343069	0.343069
ZNF533	PACSIN1	Type 0	0.299431	0.299431
KCNK12	PACSIN1	Type 0	0.996163	0.996163
TDRD5	PACSIN1	Type 0	0.284816	0.284816
IL1RN	GRAMD1A	Type 0	0.967596	0.967596
GRAMD1A	LBH	Type 0	1.000000	1.000000
GRAMD1A	SCAMP5	Type 0	0.215190	0.215190
NRARP	SUV420H2	Type 0	0.307313	0.307313
WNK2	SUV420H2	Type 0	0.517970	0.517970
C2orf32	SUV420H2	Type 0	0.220924	0.220924
C9orf163	SUV420H2	Type 0	0.885281	0.885281
DUSP8	SUV420H2	Type 0	0.247987	0.247987
CEBPG	SUV420H2	Type 0	0.303738	0.303738
KIAA0182	SUV420H2	Type 0	0.258509	0.258509
SUV420H2	NR2E1	Type 0	0.678090	0.678090
LAPTM4B	ATP6V1B1	Type 0	0.345547	0.345547
TMEM132A	ATP6V1B1	Type 0	0.201709	0.201709
ARHGEF17	ATP6V1B1	Type 0	0.759080	0.759080
LIFR	PCDHAC2	Type 0	0.304523	0.304523
PCDHA12	PCDHAC2	Type 0	0.236813	0.236813
MIPOL1	PCDHAC2	Type 0	0.224060	0.224060
PCDHB17	PCDHAC2	Type 0	0.304290	0.304290
PCDHA2	PCDHAC2	Type 0	0.293350	0.293350
PCDHAC2	SLC35F3	Type 0	1.000000	1.000000
PCDHAC2	PCDHA11	Type 0	0.261423	0.261423
PCDHAC2	PCDHA7	Type 0	0.285274	0.285274
PCDHAC2	PCDHA1	Type 0	0.338589	0.338589
PCDHAC2	PCDHA2	Type 0	0.621330	0.621330
EVI2A	DCI	Type 0	0.279499	0.279499
LPXN	DCI	Type 0	0.321711	0.321711
TPD52L1	DCI	Type 0	0.993931	0.993931
RAB8B	DCI	Type 0	0.201273	0.201273
TLCD1	DCI	Type 0	0.416232	0.416232
DCI	PSAT1	Type 0	0.215366	0.215366
DCI	PCK2	Type 0	0.493402	0.493402
DCI	TLCD1	Type 0	0.524804	0.524804
DCI	RAB26	Type 0	0.715909	0.715909
DCI	NME3	Type 0	0.281023	0.281023
DCI	DECR2	Type 0	0.793510	0.793510
FER1L3	AHNAK2	Type 0	0.234107	0.234107
AHNAK2	FRY	Type 0	0.301676	0.301676
AHNAK2	NT5E	Type 0	0.408548	0.408548
AHNAK2	C11orf70	Type 0	0.488952	0.488952
CDC25A	MARS2	Type 0	0.497844	0.497844
MARS2	AUTS2	Type 0	0.229481	0.229481
MARS2	MYRIP	Type 0	0.301592	0.301592
MARS2	WWC3	Type 0	0.298481	0.298481
MARS2	LOC153346	Type 0	0.464034	0.464034
MARS2	FBLN7	Type 0	0.353958	0.353958
MARS2	FAM119A	Type 0	1.000000	1.000000
RUNX2	NIPA1	Type 0	0.203154	0.203154
PDK1	NIPA1	Type 0	0.230222	0.230222
ANKRD35	NIPA1	Type 0	0.301158	0.301158
SGPP1	NIPA1	Type 0	0.438858	0.438858
SLC2A6	NIPA1	Type 0	0.300879	0.300879
BCAS4	NIPA1	Type 0	0.212514	0.212514
DOPEY2	NIPA1	Type 0	0.264840	0.264840
MS4A3	NIPA1	Type 0	0.839361	0.839361
STAR	NIPA1	Type 0	0.244747	0.244747
MYL9	CTSZ	Type 0	0.297535	0.297535
SLC16A3	CTSZ	Type 0	0.278689	0.278689
MFI2	CTSZ	Type 0	0.659064	0.659064
CTSZ	MFI2	Type 0	0.338889	0.338889
SH3D19	ETFB	Type 0	0.291969	0.291969
METTL7B	ETFB	Type 0	0.301942	0.301942
TCF7L2	ETFB	Type 0	0.465050	0.465050
MMP15	ETFB	Type 0	0.997627	0.997627
ETFB	KAL1	Type 0	0.258264	0.258264
KRT20	NADSYN1	Type 0	0.280694	0.280694
FA2H	NADSYN1	Type 0	0.209025	0.209025
GEFT	NADSYN1	Type 0	0.356834	0.356834
TMEFF1	NADSYN1	Type 0	0.991826	0.991826
LOC619208	NADSYN1	Type 0	0.475270	0.475270
NADSYN1	LXN	Type 0	0.248322	0.248322
IL2RB	PROK2	Type 0	0.962207	0.962207
TRAF3IP3	PROK2	Type 0	0.348221	0.348221
KIAA0284	PROK2	Type 0	0.245344	0.245344
PROK2	DAZ4	Type 0	0.266496	0.266496
PROK2	EIF4E3	Type 0	0.333333	0.333333
PLK2	C1QTNF6	Type 0	0.238353	0.238353
ANXA8L2	C1QTNF6	Type 0	0.285375	0.285375
MICALL2	C1QTNF6	Type 0	0.396117	0.396117
TMEM40	C1QTNF6	Type 0	0.708211	0.708211
ODC1	C1QTNF6	Type 0	0.703590	0.703590
C1QTNF6	A4GALT	Type 0	0.295706	0.295706
C1QTNF6	ATP6V1B1	Type 0	0.297215	0.297215
C1QTNF6	TMEM40	Type 0	0.272727	0.272727
C1QTNF6	PLCXD3	Type 0	0.218633	0.218633
C1QTNF6	ADAMTSL4	Type 0	1.000000	1.000000
GNG12	HIST1H2BM	Type 0	0.356298	0.356298
HIST1H1C	HIST1H2BM	Type 0	0.598581	0.598581
HIST1H3D	HIST1H2BM	Type 0	0.272047	0.272047
HIST1H2AM	HIST1H2BM	Type 0	0.310998	0.310998
HIST1H2AI	HIST1H2BM	Type 0	0.404949	0.404949
HIST1H2BM	HIST1H2BD	Type 0	0.220618	0.220618
HIST1H2BM	HIST1H1C	Type 0	0.311853	0.311853
HIST1H2BM	HIST1H3D	Type 0	0.444094	0.444094
HIST1H2BM	HIST1H2AC	Type 0	0.217391	0.217391
HIST1H2BM	HIST1H2AM	Type 0	0.621997	0.621997
MAGEA2B	MAGEA2	Type 0	0.518500	0.518500
MAGEA2	MAGEA2B	Type 0	0.481500	0.481500
LIFR	SKAP1	Type 0	0.996966	0.996966
IL23A	SKAP1	Type 0	0.317248	0.317248
SKAP1	TNFRSF1B	Type 0	0.517205	0.517205
SKAP1	NOD2	Type 0	0.254019	0.254019
SKAP1	TMPRSS3	Type 0	0.205409	0.205409
SKAP1	IL23A	Type 0	0.348692	0.348692
KBTBD8	SQSTM1	Type 0	0.397567	0.397567
FTH1	SQSTM1	Type 0	0.289545	0.289545
SQSTM1	CEBPD	Type 0	1.000000	1.000000
SQSTM1	SAT1	Type 0	0.299032	0.299032
SQSTM1	SLC7A11	Type 0	0.353097	0.353097
SQSTM1	LITAF	Type 0	0.300885	0.300885
SQSTM1	CSF2RA	Type 0	0.247529	0.247529
SQSTM1	FTH1	Type 0	0.637135	0.637135
SQSTM1	FTL	Type 0	0.301164	0.301164
ST14	HSD11B1L	Type 0	0.435502	0.435502
VIM	HSD11B1L	Type 0	0.958409	0.958409
LLGL2	HSD11B1L	Type 0	0.300055	0.300055
HSD11B1L	WDR72	Type 0	0.234269	0.234269
KIF1A	ART5	Type 0	0.451576	0.451576
C10orf35	IL17RD	Type 0	0.269659	0.269659
ABHD7	IL17RD	Type 0	0.407583	0.407583
TCF7L2	IL17RD	Type 0	0.301892	0.301892
MGC70870	IL17RD	Type 0	0.579048	0.579048
SLC16A7	IL17RD	Type 0	0.945095	0.945095
IL17RD	CIB2	Type 0	1.000000	1.000000
Gcom1	SCLT1	Type 0	0.287027	0.287027
KRT20	SCLT1	Type 0	0.380952	0.380952
SEMA4G	SCLT1	Type 0	0.287408	0.287408
NEK1	SCLT1	Type 0	0.297264	0.297264
WDR7	SCLT1	Type 0	0.992620	0.992620
SPR	SCLT1	Type 0	0.219478	0.219478
SCLT1	GPM6A	Type 0	0.234862	0.234862
SCLT1	EDN3	Type 0	0.233205	0.233205
PVRIG	CD52	Type 0	0.490443	0.490443
STAP1	CD52	Type 0	0.740777	0.740777
CD52	RGS13	Type 0	0.213689	0.213689
CD52	LRIG3	Type 0	1.000000	1.000000
CD52	STAP1	Type 0	0.245001	0.245001
CD52	LASS6	Type 0	0.982895	0.982895
SGCD	SFRP1	Type 0	0.934382	0.934382
MMP3	SFRP1	Type 0	0.321708	0.321708
FOXD3	SFRP1	Type 0	0.207501	0.207501
RFTN2	SFRP1	Type 0	0.351166	0.351166
SFRP1	COL11A1	Type 0	0.219912	0.219912
SFRP1	MMP1	Type 0	0.267834	0.267834
FJX1	GPR180	Type 0	0.240756	0.240756
SLC11A2	GPR180	Type 0	0.388398	0.388398
RYR1	GPR180	Type 0	0.218882	0.218882
FGD5	GPR180	Type 0	0.567568	0.567568
GPR180	AGBL4	Type 0	0.300000	0.300000
GPR180	FZD10	Type 0	0.307771	0.307771
GPR180	RYR1	Type 0	0.540601	0.540601
GPR180	FGD5	Type 0	0.349010	0.349010
GPR180	MSH4	Type 0	0.208191	0.208191
GPR180	APTX	Type 0	0.222281	0.222281
MYEOV	TRIM47	Type 0	0.299506	0.299506
S100A2	TRIM47	Type 0	0.267081	0.267081
CCNO	TRIM47	Type 0	0.292848	0.292848
LIF	TRIM47	Type 0	0.232978	0.232978
LTBP3	TRIM47	Type 0	0.996577	0.996577
TRIM47	LONRF3	Type 0	0.229350	0.229350
UGT1A10	LRRC8D	Type 0	0.314883	0.314883
AKR1C3	LRRC8D	Type 0	0.244052	0.244052
TRIB3	LRRC8D	Type 0	0.223301	0.223301
RDH10	LRRC8D	Type 0	0.994299	0.994299
C10orf65	LRRC8D	Type 0	0.300466	0.300466
